index,Account,Total_PnL,Total_Trades,Win_Rate_pct,Avg_Trade_USD,Best_Regime,Rank
27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.5977,14733,33.71,3837.8854,Extreme Greed,1
0,0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.82,3818,35.96,16159.5767,Extreme Fear,2
29,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062,21192,46.76,3210.4728,Extreme Fear,3
13,0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.5552,12236,40.12,34396.5803,Neutral,4
31,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.5531,40184,42.82,1844.2119,Extreme Greed,5
11,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506,4356,48.62,9084.6991,Fear,6
15,0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.5659,1590,34.59,7216.6672,Greed,7
9,0x430f09841d65beb3f27765503d0f850b8bce7713,416541.8723,1237,48.42,2397.8248,Extreme Greed,8
17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.4067,9893,81.09,2600.778,Extreme Fear,9
16,0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.51,1424,30.34,2080.3901,Extreme Fear,10
12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.8697,7584,36.04,17098.1711,Extreme Fear,11
30,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.0619,2641,32.75,7852.0983,Fear,12
8,0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.5927,383,23.5,5189.3671,Neutral,13
4,0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.005,3239,51.99,3138.8948,Extreme Fear,14
3,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.8146,13311,43.86,507.6269,Extreme Greed,15
22,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.9421,3052,28.54,3601.6893,Extreme Fear,16
14,0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.2168,975,43.18,746.7257,Extreme Greed,17
23,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.8753,15605,34.58,1273.195,Extreme Greed,18
10,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.7162,8519,35.34,517.5289,Extreme Greed,19
24,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.4843,417,57.31,2066.6892,Greed,20
25,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.6195,563,40.85,2979.4418,Greed,21
20,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.6579,1911,33.02,6279.0023,Greed,22
7,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.2472,332,47.59,3445.4713,Neutral,23
1,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.3205,7280,44.27,1653.2263,Extreme Greed,24
21,0x8477e447846c758f5a675856001ea72298fd9cb5,43917.009,14998,26.2,820.4285,Extreme Greed,25
28,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.5008,4838,43.86,22504.5558,Fear,26
26,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.8318,534,32.21,8330.1934,Neutral,27
18,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443,1559,45.22,3748.8675,Extreme Greed,28
6,0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.9193,3589,32.77,4790.5755,Greed,29
5,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.6,815,45.52,1729.9411,Extreme Greed,30
2,0x271b280974205ca63b716753467d5a371de622ab,-70436.1913,3809,30.19,8893.0009,Extreme Greed,31
19,0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.1248,4601,38.27,2204.6855,Fear,32
